@relation AdultData-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute age numeric
@attribute workclass numeric
@attribute fnlwgt numeric
@attribute education numeric
@attribute education-num numeric
@attribute marital-status numeric
@attribute occupation numeric
@attribute relationship numeric
@attribute race numeric
@attribute sex numeric
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country numeric
@attribute income_label {0,1}

@data
27,3,146719,12,9,1,12,4,5,1,0,0,35,40,0
42,5,101709,9,11,3,3,1,2,2,2885,0,40,40,0
34,3,345705,10,13,3,12,1,5,2,0,1977,50,40,1
51,3,177705,10,13,1,12,2,5,2,0,0,50,40,1
20,3,224424,3,8,5,7,4,5,2,0,0,40,40,0
46,3,389843,10,13,3,12,1,5,2,0,0,50,11,1
17,3,176467,7,5,5,14,2,5,2,0,0,20,40,0
33,1,26543,9,11,3,13,1,5,2,0,0,40,40,1
54,5,71344,13,14,1,10,2,5,2,0,0,50,40,1
21,3,262819,16,10,5,8,2,5,1,0,0,20,40,0
35,3,109351,10,13,5,12,2,5,1,8614,0,45,40,1
45,3,343377,16,10,3,1,1,5,2,0,0,40,40,0
42,1,65950,12,9,1,1,5,3,1,0,0,40,40,0
34,3,331126,12,9,5,8,5,3,2,0,0,30,40,0
42,3,344624,12,9,3,14,1,5,2,0,1902,50,40,1
30,2,257796,16,10,1,1,2,5,1,0,0,40,40,0
24,3,109053,12,9,5,8,3,5,2,0,0,25,40,0
27,3,257302,8,12,3,13,6,5,1,0,0,38,40,0
53,2,231196,12,9,3,1,1,5,2,0,0,40,40,0
21,3,25265,12,9,5,3,4,5,2,0,0,40,40,0
66,3,22313,2,7,3,3,1,5,2,0,0,20,40,0
29,3,59732,12,9,3,3,1,1,2,0,0,40,40,0
29,3,320451,12,9,5,11,2,2,2,0,0,40,31,0
41,6,132551,13,14,1,10,5,5,1,0,0,35,40,0
80,5,225892,12,9,3,8,1,5,2,1409,0,40,40,0
34,3,271933,10,13,5,4,3,5,1,0,1741,45,40,0
24,3,155150,12,9,3,7,1,5,2,0,0,40,40,0
57,3,96346,12,9,7,10,2,5,1,0,0,57,40,0
32,3,128002,9,11,3,1,6,5,1,0,0,45,40,0
53,3,124076,11,16,3,10,6,5,1,99999,0,37,40,1
28,3,206125,16,10,3,3,1,5,2,0,0,40,40,0
43,3,182254,16,10,1,10,5,5,1,0,0,40,40,0
24,3,117779,10,13,5,10,2,5,2,0,0,10,19,0
19,3,228939,12,9,5,6,4,5,2,0,0,35,40,0
21,3,308237,5,3,3,6,1,5,2,0,0,40,27,0
23,3,311376,9,11,5,1,2,5,1,0,0,40,40,0
35,3,196899,10,13,5,6,2,2,1,0,0,50,15,0
37,3,308691,10,13,3,3,1,5,2,0,0,45,40,1
39,2,301614,9,11,3,11,1,5,2,0,0,48,40,1
44,4,95150,16,10,3,4,1,5,2,0,0,50,40,1
32,3,268147,9,11,5,13,5,5,1,0,0,60,40,0
28,3,169069,12,9,5,3,4,5,2,0,0,40,40,0
29,6,245310,16,10,5,10,2,5,2,0,0,35,40,0
36,3,160120,12,9,3,1,1,2,2,0,0,40,41,0
42,2,248476,16,10,1,14,2,5,2,0,0,65,40,1
42,3,306496,12,9,3,8,1,5,2,0,0,40,40,0
39,3,201410,12,9,3,6,1,5,2,0,0,40,40,0
18,3,74539,1,6,5,12,2,5,2,0,0,20,40,0
23,3,189832,8,12,5,14,5,5,1,0,0,40,40,0
53,6,144586,16,10,5,11,2,5,1,0,0,40,40,0
35,1,475324,10,13,3,4,1,5,2,0,0,40,40,1
34,2,183801,10,13,5,8,2,5,2,0,0,14,40,0
34,3,251421,12,9,3,3,1,5,2,0,0,40,40,0
43,6,438427,16,10,1,1,2,3,1,0,0,40,40,0
32,6,119033,12,9,3,14,1,5,2,0,0,40,40,1
51,1,293196,16,10,3,10,1,5,2,0,0,40,40,1
45,1,207107,8,12,1,1,5,2,2,0,2080,40,31,0
52,5,190333,12,9,1,5,2,5,2,0,0,25,40,0
22,3,349368,10,13,5,4,4,5,1,0,0,30,40,0
64,3,91343,16,10,7,13,5,5,1,0,0,40,40,0
50,3,137253,10,13,3,1,6,5,1,0,0,40,40,1
21,3,186849,12,9,5,6,4,5,2,0,0,40,40,0
40,1,346532,16,10,3,1,1,3,2,0,0,40,40,1
25,3,255004,1,6,5,3,2,5,2,0,0,40,40,0
38,3,63509,9,11,3,3,1,5,2,0,0,50,40,0
30,3,242460,12,9,6,3,2,5,2,0,0,50,40,0
17,3,331552,3,8,5,1,4,5,1,0,0,30,40,0
41,3,222504,15,15,1,10,5,5,1,0,0,38,40,0
48,3,202467,10,13,3,10,1,5,2,0,1485,40,40,1
43,3,184099,8,12,3,14,1,5,2,0,0,40,40,0
37,3,161141,9,11,3,3,1,5,2,0,0,40,33,1
21,3,155818,12,9,5,8,4,5,1,0,0,20,40,0
61,3,141745,12,9,1,8,2,3,1,0,0,40,40,0
51,3,107123,6,4,3,14,1,3,2,0,0,40,40,0
38,6,352628,10,13,1,10,2,5,1,0,0,40,40,0
62,5,26911,6,4,7,8,2,5,1,0,0,66,40,0
35,3,85399,12,9,5,7,2,5,1,0,0,40,40,0
38,3,348739,15,15,3,10,1,5,2,0,0,60,40,0
37,5,120130,13,14,3,4,1,5,2,0,0,60,40,1
45,3,149640,16,10,3,3,1,5,2,0,0,40,40,0
42,3,339346,13,14,1,1,2,5,1,0,0,25,40,0
40,3,198790,2,7,3,7,1,5,2,0,0,30,40,0
35,5,241469,7,5,3,3,1,5,2,2635,0,30,40,0
30,3,130021,6,4,3,3,1,5,2,2829,0,40,40,0
47,2,200471,12,9,3,14,1,5,2,5178,0,40,40,1
30,3,57651,12,9,5,1,5,5,2,0,2001,42,40,0
21,3,131230,12,9,3,3,1,5,2,0,0,37,40,0
40,3,262872,10,13,5,1,2,5,1,0,0,40,40,0
50,4,175070,15,15,3,10,1,5,2,0,0,45,40,1
28,3,328923,12,9,5,1,3,5,1,0,0,38,40,0
30,3,111567,12,9,5,3,4,5,2,0,0,48,40,0
27,2,124680,13,14,5,10,2,5,1,0,0,40,40,0
42,3,245626,12,9,3,3,1,1,2,0,0,60,40,0
44,3,111067,16,10,3,3,1,5,2,0,0,40,40,0
26,3,51961,10,13,5,1,2,3,2,0,0,20,40,0
31,3,61559,12,9,5,8,2,5,2,0,0,50,40,0
44,4,352971,10,13,3,4,1,5,2,0,0,45,40,1
36,3,162256,12,9,1,4,5,5,1,0,0,40,40,0
40,3,192344,10,13,3,1,1,5,2,0,0,40,40,1
52,3,202956,6,4,3,3,1,5,2,0,0,40,40,0
31,3,379798,16,10,3,12,1,5,2,0,0,40,40,1
33,3,199046,10,13,5,12,2,5,1,0,0,40,40,0
43,6,114508,12,9,1,4,5,5,1,0,0,40,40,0
51,3,279156,12,9,3,4,1,5,2,7298,0,40,40,1
53,3,53197,13,14,3,10,1,5,2,3103,0,40,40,1
31,3,298871,11,16,3,10,1,2,2,0,0,40,3,0
54,5,118365,1,6,1,8,2,3,1,0,0,10,40,0
39,5,106347,16,10,1,12,5,5,2,0,0,47,40,0
38,3,234901,16,10,3,10,1,5,2,0,0,40,40,0
32,1,44777,12,9,6,7,2,3,2,0,0,46,40,0
65,6,215908,12,9,3,1,1,5,2,0,2174,40,40,1
46,3,305160,4,2,3,6,1,5,2,0,0,40,27,0
19,3,70982,9,11,5,8,4,2,2,0,0,16,40,0
56,1,107314,16,10,1,1,2,3,1,0,0,40,40,0
57,3,34269,12,9,7,14,5,5,2,0,653,42,40,1
52,3,110748,13,14,3,10,1,5,2,0,0,50,40,1
24,3,304463,16,10,3,3,1,5,2,0,0,65,40,0
25,3,371987,10,13,5,4,2,5,1,0,0,40,40,0
40,3,206066,12,9,3,3,1,5,2,0,0,50,40,0
45,3,125489,13,14,1,10,5,5,1,0,0,50,40,0
25,3,264012,10,13,3,1,1,5,2,0,0,45,40,1
32,3,158291,12,9,3,3,1,5,2,0,0,50,40,1
31,3,49398,16,10,3,13,1,5,2,0,0,40,40,0
57,6,39380,12,9,6,8,2,5,1,0,0,35,40,0
29,3,91547,16,10,5,12,2,5,1,0,0,40,40,0
19,3,148644,12,9,5,1,4,5,1,0,0,40,40,0
36,3,261382,13,14,3,12,1,5,2,15024,0,45,40,1
47,3,198769,16,10,5,1,2,5,1,0,0,40,40,1
34,3,175856,10,13,3,4,1,5,2,3103,0,55,40,1
30,4,178383,16,10,3,3,1,3,2,0,0,70,40,0
32,3,173998,16,10,5,1,2,5,1,0,0,60,40,0
73,3,284680,12,9,1,8,2,5,1,0,0,20,40,0
33,3,125761,16,10,5,1,2,5,2,0,0,36,40,0
18,3,140164,2,7,5,12,4,5,1,0,0,40,40,0
42,3,255667,16,10,3,3,1,5,2,0,0,50,40,1
24,3,163595,12,9,5,7,4,5,2,0,0,40,40,0
