age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income_label
25,3,109609,16,10,5,8,2,5,2,0,0,25,40,0
37,3,259882,9,11,5,12,5,3,1,0,0,6,40,0
67,2,181220,16,10,1,1,2,3,1,0,0,20,40,0
31,3,332379,16,10,4,14,5,5,2,0,0,50,40,0
24,3,197666,10,13,5,4,2,5,1,0,0,40,40,0
64,2,116620,13,14,3,10,1,5,2,0,0,25,40,0
34,3,255693,12,9,3,1,6,5,1,0,0,20,40,0
65,3,243858,12,9,7,8,2,5,1,0,0,15,40,0
43,4,33729,10,13,3,12,1,5,2,0,0,45,40,1
23,3,174413,10,13,5,4,2,5,1,0,0,40,40,0
34,3,261799,9,11,3,1,1,3,2,0,0,45,40,1
47,3,357848,12,9,3,3,1,5,2,0,0,40,40,1
64,5,352712,9,11,3,5,1,5,2,0,0,55,40,0
40,3,445382,12,9,3,4,1,5,2,0,0,40,40,1
29,2,376302,9,11,3,13,6,5,1,0,0,35,28,1
27,3,83517,12,9,5,14,4,5,2,0,0,60,40,0
20,3,231981,16,10,5,14,2,5,2,0,0,32,40,0
25,3,304032,12,9,5,1,4,5,2,0,0,36,40,0
58,3,175127,12,9,3,7,1,5,2,0,0,40,40,0
23,3,33423,16,10,5,12,2,5,1,0,0,30,40,0
30,3,327112,10,13,1,12,2,5,2,0,1564,40,40,1
29,5,169662,12,9,3,3,1,5,2,0,0,40,40,0
47,3,33710,10,13,3,4,1,5,2,3103,0,60,40,1
23,3,32950,16,10,5,12,2,5,2,0,0,40,40,0
44,3,222596,12,9,1,13,2,5,2,0,0,50,40,1
31,3,207201,16,10,3,3,1,5,2,0,0,40,40,1
33,2,100734,12,9,1,13,2,5,1,0,0,55,40,0
29,3,135296,9,11,5,1,4,5,1,0,0,40,40,0
29,3,200511,12,9,3,12,1,5,2,0,0,50,40,0
18,3,32244,2,7,5,6,4,5,2,594,0,30,40,0
31,6,255830,8,12,5,1,4,3,1,0,0,45,40,0
30,3,224147,12,9,5,14,4,3,2,0,0,40,40,0
57,4,33725,10,13,3,3,1,5,2,0,0,50,40,1
37,3,113120,9,11,1,10,2,5,1,0,0,40,40,0
27,3,249315,16,10,5,12,2,5,2,0,0,44,40,0
26,3,314798,12,9,5,1,2,5,2,0,0,50,40,0
65,3,173674,12,9,1,8,3,5,1,0,0,14,40,0
50,3,38795,10,13,3,10,1,5,2,0,0,50,40,0
52,3,72743,12,9,4,1,2,5,1,0,0,50,40,0
42,2,263871,12,9,3,1,1,5,2,0,0,8,40,0
28,3,209801,7,5,3,7,6,5,1,0,0,40,40,0
44,2,160943,12,9,3,14,1,3,2,0,0,40,40,0
44,3,228057,6,4,3,7,6,5,1,0,0,40,6,0
36,5,186035,15,15,3,12,1,5,2,0,0,30,40,1
57,3,173832,10,13,3,12,1,5,2,0,1902,40,40,1
42,4,187702,15,15,3,10,1,5,2,0,2415,60,40,1
23,3,45834,10,13,5,4,2,5,1,0,0,50,40,0
44,2,323790,10,13,3,11,1,5,2,0,0,40,40,1
41,4,99212,12,9,6,4,5,5,2,0,0,40,40,0
36,2,175255,12,9,3,8,6,5,1,0,0,35,40,0
19,3,240686,2,7,5,12,4,5,1,0,0,25,40,0
42,3,175935,12,9,3,7,1,5,2,0,0,40,40,0
41,3,76625,12,9,3,3,1,5,2,0,0,40,40,0
31,3,59083,12,9,3,1,1,5,2,0,0,40,40,0
39,3,203204,8,12,3,1,6,5,1,0,0,25,40,1
25,3,254781,10,13,5,4,2,5,1,0,0,40,40,0
20,3,216472,16,10,5,12,4,5,1,0,0,25,40,0
35,3,172694,12,9,3,7,1,3,2,0,0,40,40,0
46,3,146919,12,9,6,12,2,5,1,0,0,40,40,0
39,3,225605,12,9,3,5,1,5,2,0,0,24,40,0
47,3,105381,12,9,1,12,2,5,1,0,0,40,40,0
38,3,290306,12,9,3,3,1,5,2,0,0,40,40,1
27,3,200500,6,4,3,14,1,5,2,0,0,45,40,0
25,3,232914,10,13,3,1,6,3,1,0,0,38,40,0
59,1,190541,12,9,3,3,1,5,2,0,0,40,40,1
55,3,276229,16,10,1,13,2,5,1,0,0,40,40,0
41,2,132125,12,9,3,11,1,5,2,0,0,40,40,0
43,6,242521,12,9,3,3,1,5,2,0,0,40,40,0
46,6,30219,16,10,3,4,1,5,2,7688,0,38,40,1
38,3,269323,12,9,3,1,1,5,2,0,0,40,40,1
27,3,60288,13,14,5,12,4,5,1,0,0,40,40,0
50,5,156606,16,10,3,4,6,5,1,0,0,30,40,0
54,1,75235,12,9,3,4,1,5,2,5178,0,40,40,1
22,3,194848,12,9,5,5,4,5,2,0,0,40,40,0
21,5,304602,9,11,5,5,4,5,2,0,0,98,40,0
35,3,107125,10,13,3,10,1,5,2,0,0,16,40,1
40,3,195892,16,10,1,14,2,3,1,0,0,40,40,0
43,3,180599,10,13,6,4,5,5,2,8614,0,40,40,1
40,3,71305,12,9,3,8,1,3,2,0,0,40,40,0
17,3,142912,1,6,5,8,4,5,2,0,0,40,40,0
57,3,190997,10,13,3,4,1,5,2,0,0,50,40,1
32,3,34104,12,9,3,4,1,5,2,3103,0,55,40,1
49,3,153536,16,10,1,10,2,5,2,14084,0,44,40,1
39,2,189911,2,7,1,1,5,5,1,0,0,40,40,0
38,3,405284,10,13,5,8,4,5,1,0,0,35,40,0
34,3,148291,12,9,3,13,6,5,1,0,0,32,40,0
58,2,310085,1,6,3,14,1,5,2,0,0,40,40,0
25,5,257574,10,13,5,1,2,3,1,0,0,20,40,0
25,3,295919,8,12,5,1,5,5,1,0,0,40,40,0
57,6,183657,16,10,3,10,1,3,2,0,0,35,40,1
47,3,52795,16,10,3,7,1,5,2,0,0,46,40,0
32,2,198211,9,11,4,3,2,5,2,0,0,40,40,0
29,3,169544,9,11,5,13,2,5,2,0,0,40,40,0
17,3,52967,1,6,5,8,4,5,1,0,0,6,40,0
56,3,357118,13,14,3,10,6,5,1,0,0,40,40,1
43,5,277488,12,9,3,5,1,5,2,0,0,30,40,0
20,3,194504,16,10,6,12,5,3,1,0,0,40,40,0
37,3,109133,12,9,3,7,1,5,2,0,0,40,33,0
40,3,289403,10,13,6,1,5,3,2,0,0,35,40,0
45,3,77085,10,13,3,3,1,2,2,0,0,40,25,1
43,3,309932,10,13,3,3,1,5,2,0,0,40,40,0
32,3,184440,16,10,3,7,1,5,2,3464,0,40,40,0
20,3,210781,16,10,5,1,4,5,1,0,0,35,40,0
53,5,302847,12,9,3,12,1,5,2,0,0,35,40,0
39,3,248445,5,3,3,6,1,5,2,0,0,40,27,0
57,3,182028,10,13,3,4,6,5,1,0,0,40,40,0
30,3,177304,16,10,3,12,1,5,2,0,0,44,40,0
21,3,355287,7,5,5,7,2,5,2,0,0,48,27,0
24,3,148709,12,9,5,8,2,5,1,0,0,40,40,0
36,3,83893,16,10,3,4,1,5,2,0,0,40,40,1
40,1,26880,16,10,5,1,5,5,1,0,0,40,40,0
46,3,229394,12,9,1,4,2,5,1,0,0,40,40,0
36,3,199346,13,14,3,10,6,5,1,0,0,50,40,1
47,3,158924,12,9,3,13,6,5,1,0,0,40,40,0
34,2,124827,16,10,3,4,1,5,2,0,0,40,40,1
19,3,202673,16,10,5,6,4,5,2,0,0,50,40,0
37,3,128715,10,13,3,4,1,5,2,0,0,60,40,1
47,3,195978,12,9,3,3,1,5,2,0,0,40,40,1
55,3,50164,11,16,3,4,1,5,2,0,0,60,40,1
49,2,202467,12,9,3,11,1,5,2,0,0,40,40,1
39,3,115289,8,12,3,13,1,5,2,0,0,40,10,1
45,3,106113,16,10,3,4,1,5,2,0,0,40,40,1
61,3,143800,1,6,3,14,1,5,2,0,0,50,40,1
37,5,111129,16,10,3,3,1,5,2,0,0,45,40,0
23,3,194247,16,10,5,12,2,5,2,0,0,40,40,0
30,3,91145,12,9,3,7,1,5,2,0,0,40,40,0
31,3,99844,12,9,5,3,2,1,2,0,0,45,40,0
40,2,243580,10,13,3,10,1,5,2,0,0,48,40,0
43,2,94937,10,13,3,10,6,5,1,0,0,28,40,0
30,3,94235,12,9,5,3,3,5,2,0,0,40,40,0
44,3,252202,12,9,1,1,2,5,1,0,0,40,40,0
63,5,111306,6,4,7,5,5,5,1,0,0,10,40,0
62,3,368476,5,3,3,5,1,5,2,0,0,24,27,0
20,3,169600,16,10,5,10,4,5,1,2176,0,12,40,0
42,3,121718,16,10,3,1,1,5,2,0,0,40,11,0
41,3,174395,13,14,3,10,1,5,2,0,0,40,40,1
26,3,206600,2,7,5,8,3,5,2,0,0,30,27,0
51,4,338836,16,10,3,4,1,5,2,0,0,40,40,1
48,6,148306,13,14,1,10,5,5,1,0,0,40,40,0
64,3,187601,16,10,7,1,2,5,1,0,0,40,40,0
33,5,361497,12,9,3,3,1,5,2,0,0,40,40,0
17,3,46402,6,4,5,12,4,5,2,0,0,8,40,0
26,3,210812,16,10,1,3,2,5,2,0,0,43,40,0
40,4,111483,10,13,5,10,4,5,2,0,0,40,40,0
31,3,243142,12,9,1,7,5,5,1,0,0,40,40,0
34,3,80058,15,15,5,4,4,5,2,0,0,50,40,0
41,2,36924,16,10,3,1,1,5,2,0,0,40,40,1
49,2,37353,13,14,3,4,1,5,2,0,0,40,40,1
57,5,287229,12,9,3,3,1,5,2,0,0,48,40,1
37,3,188503,10,13,5,1,2,5,1,0,0,35,40,0
31,3,339482,12,9,3,3,1,5,2,0,1848,40,40,1
45,3,122206,12,9,3,14,1,5,2,0,0,40,40,0
34,4,202450,12,9,3,3,1,5,2,0,0,50,40,0
21,3,63665,16,10,5,8,4,5,2,0,0,15,40,0
25,3,120238,2,7,3,14,1,5,2,5178,0,40,32,1
48,3,174794,9,11,1,1,5,5,1,0,0,40,40,0
19,3,55284,12,9,5,6,4,5,1,0,0,25,40,0
30,3,124187,12,9,5,5,4,3,2,0,0,60,40,0
43,5,35034,10,13,3,10,1,5,2,0,0,21,40,0
26,3,183171,2,7,5,8,4,3,2,1055,0,32,40,0
32,3,40142,10,13,3,4,1,5,2,0,0,40,40,1
31,3,185814,12,9,5,14,5,3,1,0,0,30,40,0
53,2,192982,13,14,3,1,1,5,2,0,0,38,40,1
54,1,230387,12,9,7,1,5,5,1,0,0,35,40,0
27,3,112754,10,13,3,4,1,5,2,0,1485,60,40,1
56,3,175127,1,6,3,6,1,5,2,0,0,40,40,0
44,3,170924,16,10,3,3,1,5,2,7298,0,40,40,1
35,3,41777,3,8,5,5,2,5,2,0,0,20,40,0
68,4,52052,9,11,7,12,2,5,1,25124,0,50,40,1
79,5,84979,9,11,3,12,1,5,2,0,0,20,40,1
34,3,64830,8,12,1,4,2,5,1,0,0,45,40,0
50,5,203098,10,13,3,4,1,5,2,0,0,35,40,0
46,3,332355,16,10,3,1,1,5,2,0,0,40,40,0
50,2,138358,16,10,6,8,5,3,1,0,0,28,40,0
41,3,202980,12,9,3,3,1,5,2,0,0,4,30,0
52,1,29623,3,8,5,8,5,3,1,0,0,40,40,0
44,4,121352,16,10,3,4,1,5,2,0,0,50,40,0
26,3,158734,13,14,5,4,2,5,1,0,0,30,40,0
19,3,356272,16,10,5,1,2,5,1,0,0,25,40,0
24,6,155775,12,9,3,13,1,5,2,0,0,40,40,0
39,5,122353,10,13,3,4,1,5,2,0,0,40,40,0
54,3,175912,12,9,7,7,5,5,2,914,0,40,40,0
42,5,343609,16,10,6,8,5,3,1,0,0,50,40,0
30,3,85708,12,9,3,1,1,5,2,0,0,40,40,0
63,3,37792,1,6,7,8,2,5,1,0,0,31,40,0
26,3,375499,1,6,5,1,2,3,2,0,0,20,40,0
37,3,166497,12,9,5,1,4,5,2,0,0,38,40,0
28,3,171133,9,11,5,1,4,5,1,0,0,40,40,0
56,3,132026,10,13,3,12,1,3,2,7688,0,45,40,1
32,1,83413,10,13,3,1,1,5,2,0,0,35,40,1
37,3,256723,16,10,1,1,5,3,1,0,0,35,40,0
49,2,276247,16,10,3,11,1,5,2,0,0,40,40,0
35,3,129573,12,9,3,14,1,5,2,0,0,65,40,0
27,3,384308,16,10,5,3,2,5,2,0,0,45,40,0
21,3,32616,12,9,5,8,2,5,1,0,1719,16,40,0
36,3,131459,6,4,3,3,1,5,2,0,0,40,40,0
49,3,402462,10,13,4,14,5,5,2,0,0,30,4,0
20,3,196745,16,10,5,8,4,5,1,594,0,16,40,0
21,3,83580,16,10,5,10,4,1,1,0,0,4,40,0
61,5,84409,11,16,3,10,1,5,2,0,0,40,40,1
57,5,27385,10,13,3,12,1,5,2,0,0,10,40,0
62,1,177295,12,9,7,1,5,5,1,0,0,40,40,0
32,3,153471,12,9,5,5,2,5,2,0,0,35,40,0
24,3,203518,10,13,5,10,2,5,1,0,0,40,40,0
31,2,213307,12,9,5,1,4,5,1,0,0,40,40,0
62,3,200332,12,9,3,7,1,5,2,0,0,40,40,0
49,3,83622,8,12,6,1,2,5,1,2597,0,40,40,0
21,3,226145,16,10,5,6,4,5,2,0,0,30,40,0
47,3,102308,13,14,3,12,1,5,2,0,0,40,40,1
18,3,280603,2,7,5,12,4,5,1,0,0,30,40,0
36,3,245521,6,4,3,5,1,5,2,0,0,35,27,0
55,3,172666,16,10,3,3,1,5,2,0,0,40,40,1
33,5,272359,10,13,3,12,1,5,2,7298,0,80,40,1
35,3,174856,12,9,3,14,1,5,2,2885,0,40,40,0
61,4,102191,13,14,7,4,5,5,1,0,0,99,40,0
31,3,34374,15,15,5,10,2,5,2,0,0,50,40,0
47,5,165468,12,9,3,7,1,5,2,7298,0,40,40,1
58,3,123436,10,13,3,4,1,5,2,7688,0,50,40,1
33,6,290614,12,9,3,8,1,5,2,0,0,40,40,0
18,3,145005,16,10,5,8,4,5,2,0,0,20,40,0
25,3,41526,10,13,5,3,4,5,2,0,0,30,2,0
34,3,362787,12,9,5,7,5,3,1,0,0,40,40,0
39,2,119421,10,13,3,10,6,5,1,0,0,42,40,0
53,1,199720,11,16,3,10,1,5,2,15024,0,60,11,1
26,3,164737,16,10,5,12,2,5,1,0,0,40,40,0
22,3,134746,1,6,3,12,6,5,1,0,0,40,40,0
26,6,58039,16,10,3,8,1,5,2,0,0,40,40,0
46,3,154405,1,6,3,6,1,3,2,0,0,45,40,0
32,1,249409,12,9,5,8,4,3,2,0,0,40,40,0
34,3,182274,16,10,3,4,6,5,1,0,1887,40,40,1
21,3,126613,16,10,5,8,4,5,1,0,0,40,40,0
35,3,189623,11,16,3,4,1,5,2,0,0,45,40,1
39,3,231491,12,9,5,6,3,5,2,0,0,40,40,0
46,3,278322,9,11,3,4,1,5,2,0,0,40,40,1
55,5,147098,7,5,3,3,1,5,2,0,0,50,40,0
66,3,214469,12,9,7,1,2,5,1,0,0,13,40,0
22,1,209131,8,12,5,8,4,5,2,0,0,20,40,0
72,5,52138,11,16,3,10,1,5,2,0,2392,25,40,1
40,3,694812,16,10,5,3,2,5,2,0,0,40,40,0
50,3,140516,12,9,3,11,1,5,2,0,0,40,40,1
43,3,149670,16,10,3,1,6,5,1,4064,0,15,40,0
46,5,342907,12,9,3,12,1,3,2,0,0,60,40,1
43,1,175669,16,10,3,1,6,5,1,0,0,40,40,0
58,1,81973,16,10,3,13,1,2,2,0,1485,40,40,1
58,3,136841,10,13,3,10,6,5,1,99999,0,35,40,1
50,3,48358,12,9,3,3,1,5,2,7688,0,40,40,1
23,3,176123,12,9,5,13,3,2,2,0,0,40,41,0
17,3,175024,2,7,5,6,4,5,2,2176,0,18,40,0
40,3,201764,12,9,1,3,2,5,2,0,0,40,40,0
28,3,136985,12,9,3,8,1,5,2,0,0,35,40,0
44,3,143368,16,10,5,8,2,3,2,0,0,55,40,0
46,3,332884,10,13,3,4,1,5,2,7298,0,65,40,1
43,3,303051,9,11,3,4,1,5,2,15024,0,40,40,1
25,3,391591,3,8,5,3,2,5,2,0,0,40,40,0
18,3,183930,12,9,5,8,4,5,2,0,0,12,40,0
56,3,192869,12,9,3,7,1,5,2,0,0,40,40,1
33,6,425785,9,11,3,10,1,5,2,0,0,40,40,0
17,3,275051,2,7,5,1,4,5,1,0,0,8,40,0
36,3,203482,8,12,3,10,1,5,2,0,0,40,40,1
34,3,70466,9,11,1,3,2,5,2,0,0,40,40,0
38,3,69306,16,10,1,3,5,5,1,0,0,40,40,0
47,6,306473,8,12,3,14,1,5,2,0,0,40,40,0
46,3,124071,13,14,7,10,2,5,1,0,0,44,40,0
37,3,171090,7,5,3,7,6,3,1,0,0,48,40,0
54,3,221915,15,15,5,10,3,5,1,0,0,65,40,0
39,1,99146,10,13,3,11,1,5,2,0,1887,60,40,1
28,3,103389,13,14,1,12,4,5,1,0,0,40,40,0
26,6,70447,12,9,3,11,1,2,2,0,0,40,40,1
26,3,275703,16,10,3,12,1,5,2,0,0,40,40,0
35,3,77146,10,13,3,12,1,5,2,0,0,45,40,1
19,3,268392,12,9,5,12,5,3,1,0,0,30,40,0
42,3,89413,3,8,5,5,4,5,2,0,0,40,40,0
31,3,183000,15,15,5,13,2,5,2,0,0,55,40,0
24,3,119156,12,9,5,14,4,5,2,0,0,50,40,0
27,3,160972,12,9,3,3,1,5,2,0,0,50,40,0
36,3,246449,16,10,3,4,1,5,2,0,0,60,40,1
53,2,287192,4,2,3,8,1,5,2,0,0,32,27,0
55,3,89690,10,13,1,10,2,5,1,0,0,40,40,1
24,3,117583,10,13,5,4,4,5,2,0,0,48,40,0
25,3,188767,12,9,5,3,4,5,2,0,0,40,40,0
33,6,73296,12,9,5,8,5,3,1,1831,0,40,40,0
30,3,155781,12,9,3,3,1,5,2,0,0,70,40,0
41,3,34278,9,11,6,8,2,5,2,0,0,40,40,0
51,3,182187,10,13,5,10,2,3,2,0,0,35,40,0
19,3,280146,16,10,5,6,4,5,2,0,0,20,40,0
28,3,31493,10,13,5,3,4,5,2,0,0,40,40,1
65,3,212562,2,7,3,6,1,5,2,0,0,20,40,0
27,3,189530,16,10,5,12,4,5,2,0,0,35,40,0
52,3,172493,12,9,5,12,2,5,1,0,0,36,40,0
30,3,33678,12,9,5,12,4,5,2,0,0,40,40,0
60,3,181953,12,9,3,14,1,5,2,0,0,28,40,0
31,3,178623,10,13,5,10,2,3,1,14084,0,60,40,1
52,3,188644,5,3,4,3,3,5,2,0,0,40,27,0
55,3,247552,16,10,3,12,1,5,2,0,0,56,40,0
31,3,325658,12,9,1,3,5,5,2,0,0,40,40,0
47,5,94100,10,13,5,5,2,5,2,0,0,65,40,0
21,3,57711,12,9,5,8,2,5,1,0,0,30,40,0
45,6,101299,11,16,3,10,1,5,2,0,0,40,40,1
45,1,181970,12,9,3,1,1,5,2,0,1672,40,40,0
40,3,150528,10,13,3,1,1,5,2,0,0,40,40,0
31,3,159737,12,9,5,12,5,3,1,0,0,58,40,0
20,3,161922,12,9,5,6,2,5,2,0,0,43,40,0
62,3,210142,9,11,3,4,1,5,2,0,0,50,40,1
29,3,71860,12,9,3,5,1,5,2,0,0,60,40,0
17,3,263746,1,6,5,8,4,5,2,0,0,24,40,0
32,6,175931,12,9,3,11,1,5,2,0,0,40,40,0
20,3,378546,12,9,5,3,4,5,2,0,0,25,40,0
39,3,343476,12,9,3,3,1,5,2,0,0,30,40,0
32,3,187901,9,11,5,4,2,5,1,0,0,23,40,0
51,3,203435,16,10,1,12,5,5,1,0,0,40,23,0
25,3,290528,12,9,3,7,1,5,2,0,0,40,40,0
22,3,211968,10,13,5,1,4,5,1,0,0,40,40,0
41,3,121718,16,10,3,3,1,5,2,0,0,40,23,0
30,3,167476,16,10,1,7,2,5,2,0,0,50,40,0
51,3,118793,10,13,3,10,1,5,2,0,0,70,40,1
17,3,218361,1,6,5,8,4,5,1,0,1602,12,40,0
29,3,134890,10,13,3,13,1,5,2,0,0,40,40,1
32,3,170154,8,12,6,4,5,5,1,25236,0,50,40,1
47,4,139268,15,15,3,10,1,5,2,0,1977,60,40,1
44,3,192381,10,13,3,10,1,5,2,0,1848,40,40,1
37,5,205359,16,10,3,4,6,5,1,0,0,15,40,0
36,3,217077,12,9,3,12,1,5,2,0,0,50,40,0
49,3,169818,12,9,3,8,6,3,1,0,0,40,40,1
39,3,167140,13,14,3,4,1,5,2,0,0,40,40,0
20,3,148940,12,9,5,6,4,5,2,0,0,40,40,0
76,2,178665,7,5,3,8,1,5,2,0,0,30,40,0
41,3,149102,12,9,5,14,2,5,2,0,0,40,32,0
48,2,238959,13,14,1,4,5,3,1,9562,0,40,40,1
32,3,35595,10,13,5,1,2,5,2,0,0,40,40,0
32,3,117963,12,9,3,6,1,5,2,0,0,45,40,0
40,3,239708,2,7,3,14,1,5,2,0,0,55,40,0
29,6,309620,13,14,3,10,1,2,2,0,0,20,37,0
37,3,170020,12,9,3,3,1,5,2,0,0,40,40,0
32,3,388672,16,10,1,6,2,5,2,0,0,16,40,0
65,5,167414,12,9,3,4,1,5,2,0,0,59,40,1
18,3,160984,2,7,5,8,4,5,1,0,0,15,40,0
35,4,189404,16,10,3,12,1,5,2,0,1740,40,40,0
24,3,192766,12,9,3,6,1,5,2,0,0,40,40,0
39,3,1455435,8,12,6,3,2,5,2,0,0,40,40,0
35,3,204621,8,12,1,8,4,5,1,0,0,40,40,0
21,3,180052,16,10,5,14,4,5,2,0,0,30,40,0
22,3,341368,16,10,5,8,2,5,2,0,0,50,40,0
55,3,160303,12,9,7,1,3,5,1,0,0,40,40,0
64,2,202984,12,9,3,3,1,5,2,3137,0,40,40,0
63,3,106910,5,3,7,8,3,2,1,0,0,19,31,0
37,3,138192,12,9,3,3,1,5,2,0,0,45,40,0
35,3,176279,16,10,7,1,5,5,1,0,0,30,40,0
36,3,238415,9,11,3,12,1,5,2,0,0,50,40,1
55,3,116442,12,9,5,12,2,5,2,0,0,38,40,0
28,3,210765,12,9,5,3,4,5,2,0,0,40,40,0
42,3,202466,8,12,1,10,5,5,1,0,0,45,40,0
33,5,222162,12,9,3,3,1,5,2,0,0,40,40,0
